Item Name,Category,Price,Foodpanda,Foodie
Fried Calamari,Seafood Starters,290 TK,360 TK,360 TK
Grill Calamari,Seafood Starters,320 TK,390 TK,390 TK
Golden Fish Finger,Seafood Starters,195 TK,220 TK,220 TK
Fish Nugget,Seafood Starters,190 TK,210 TK,210 TK
Octopus Fry,Octopus Specials,295 TK,350 TK,350 TK
BBQ Octopus Masala,Octopus Specials,355 TK,410 TK,410 TK
Signature Octopus Masala,Octopus Specials,395 TK,450 TK,450 TK
Crispy Prawn,Seafood Specials,295 TK,340 TK,340 TK
Hot Fry Crab,Seafood Specials,195 TK,220 TK,220 TK
Spicy Crab Masala,Crab Masala Specials,225 TK,270 TK,270 TK
Signature Crab Masala,Crab Masala Specials,265 TK,310 TK,310 TK
Loitta Fry,Seafood Specials,175 TK,199 TK,199 TK
Danish Fish and Chips,Fish & Chips,375 TK,440 TK,440 TK
Swiss Fish and Chips,Fish & Chips,355 TK,420 TK,420 TK
Bengali Fish and Chips,Fish & Chips,335 TK,390 TK,390 TK
Best Fish and Chips,Fish & Chips,320 TK,375 TK,375 TK
Chicken Momo,Momo Specials,195 TK,220 TK,220 TK
Chicken Cheese Momo,Momo Specials,245 TK,280 TK,280 TK
Naga Chicken Momo,Momo Specials,210 TK,230 TK,230 TK
Twin Flavor Momo,Momo Specials,295 TK,340 TK,340 TK
Dumpling with Chili Soup,Momo Specials,345 TK,390 TK,390 TK
Seafood Chilli Pasta,Pasta & Chow Mein,439 TK,490 TK,490 TK
White Cream Pasta,Pasta & Chow Mein,399 TK,450 TK,450 TK
Chicken Chow Mein,Pasta & Chow Mein,185 TK,220 TK,220 TK
Signature Sea-food Soup,Soup Specials,280 TK,340 TK,340 TK
Thai Thick Soup,Soup Specials,189 TK,230 TK,230 TK
Cream of Mushroom Soup,Soup Specials,255 TK,290 TK,290 TK
Chicken Nanban,Chicken Specials,230 TK,290 TK,290 TK
Chicken Popcorn,Chicken Specials,190 TK,220 TK,220 TK
Chicken Tempura,Chicken Specials,210 TK,260 TK,260 TK
Chicken Katsu with Fries,Chicken Specials,290 TK,350 TK,350 TK
Garlic Mushroom,Chicken Specials,290 TK,350 TK,350 TK
Garlic Chicken Fried Rice,Rice & Sides,270 TK,320 TK,320 TK
Sea-food Rice Bowl,Rice & Sides,390 TK,450 TK,450 TK
Fried Rice Meal,Rice & Sides,190 TK,NOT AVAILABLE,NOT AVAILABLE
Masala French Fries,Rice & Sides,120 TK,190 TK,190 TK
Naga Shingara Regular Pack,Shingara & Sauces,60 TK,NOT AVAILABLE,NOT AVAILABLE
Naga Shingara Family Pack,Shingara & Sauces,110 TK,130 TK,130 TK
Naga Shingara Party Pack,Shingara & Sauces,200 TK,250 TK,250 TK
Chicken Shingara Regular Pack,Shingara & Sauces,90 TK,NOT AVAILABLE,NOT AVAILABLE
Chicken Shingara Family Pack,Shingara & Sauces,170 TK,200 TK,200 TK
Chicken Shingara Party Pack,Shingara & Sauces,320 TK,360 TK,360 TK
Mutton Liver Shingara Regular Pack,Shingara & Sauces,120 TK,150 TK,150 TK
Mutton Liver Shingara Family Pack,Shingara & Sauces,230 TK,290 TK,290 TK
Mutton Liver Shingara Party Pack,Shingara & Sauces,430 TK,550 TK,550 TK
Shingara Combo Pack,Shingara & Sauces,160 TK,190 TK,190 TK
Tartar Sauce,Sauce List,10 TK,10 TK,10 TK
Spicy Mango Sauce,Sauce List,20 TK,20 TK,20 TK
Chili Ketchup,Sauce List,10 TK,10 TK,10 TK
Green Sauce,Sauce List,10 TK,10 TK,10 TK
Chili Oil,Sauce List,10 TK,10 TK,10 TK
Lemon Butter,Sauce List,20 TK,20 TK,20 TK
Pepsi 1/2 L,Beverage,35 TK,NOT AVAILABLE,NOT AVAILABLE
7UP 1/2 L,Beverage,50 TK,NOT AVAILABLE,NOT AVAILABLE
Water 1/2 L,Beverage,20 TK,NOT AVAILABLE,NOT AVAILABLE
Water 1 L,Beverage,25 TK,NOT AVAILABLE,NOT AVAILABLE
Pepsi Glass,Beverage,25 TK,NOT AVAILABLE,NOT AVAILABLE
7UP Glass,Beverage,25 TK,NOT AVAILABLE,NOT AVAILABLE
Mirinda Glass,Beverage,25 TK,NOT AVAILABLE,NOT AVAILABLE
Mountain Dew Glass,Beverage,25 TK,NOT AVAILABLE,NOT AVAILABLE