recipe number,recipe name,item serial no,item names,item quantity GM
1,Fried Calamari,1,"Squid, raw",95 g
,,2,Bengali spice,2 g
,,3,Salt & pepper,1 g
,,4,"Garlic, chopped",2 g
,,5,Egg,1/2 pc
,,6,Maida / flour,60 g
2,Grilled Calamari,1,"Squid, raw",105 g
,,2,Bengali spice,2 g
,,3,Salt & pepper,1 g
,,4,"Garlic, chopped",2 g
,,5,Egg,1/2 pc
,,6,Maida / flour,as needed
,,7,Cajun sauce,as needed
,,8,Lemon + mustard sauce,as needed
3,Golden Fish Fingers,1,Dory fish,100 g
,,2,Bengali spice,4 g
,,3,Salt & pepper,2 g
,,4,"Garlic, chopped",2 g
,,5,Egg,1 tbsp
,,6,Lemon + mustard,5 g
,,7,Breadcrumb,50 g
4,Fish Nuggets,1,Dory fish,75 g
,,2,Bengali spices,4 g
,,3,Salt & pepper,2 g
,,4,Garlic,2 g
,,5,Lemon + mustard,5 g
,,6,Maida / flour,50 g
,,7,Egg,1 tbsp
5,Octopus Fry,1,Octopus,75 g
,,2,Bengali spice,4 g
,,3,Salt & pepper,2 g
,,4,Lemon + mustard,5 g
,,5,Maida / flour,50 g
,,6,Egg,1 tbsp
6,BBQ Octopus,1,Octopus,75 g
,,2,Bengali spice,4 g
,,3,Salt & pepper,2 g
,,4,Lemon + mustard,5 g
,,5,Egg,1 tbsp
,,6,Garlic,2 g
,,7,BBQ sauce,10 g
,,8,Chili sauce,50 g
7,Signature Octopus Masala,1,Octopus,75 g
,,2,Masala,100 g
,,3,Garlic,2 g
,,4,Tomato,50 g
,,5,Mushroom,1/2 pc
,,6,Onion,1/2 pc
,,7,Salt & pepper,10 g
8,Prawn Tempura,1,Prawn,5 pcs
,,2,Bengali spice,4 g
,,3,Salt & pepper,2 g
,,4,"Garlic, chopped",2 g
,,5,Lemon + mustard,5 g
,,6,Tempura powder,as needed
9,New York Fish & Chips,1,Dory fish,130 g
,,2,Bengali spice,4 g
,,3,Salt & pepper,6 g
,,4,Lemon + mustard,5 g
,,5,"Garlic, chopped",2 g
,,6,Batter mix,50 g
,,7,French fries,50 g
,,8,Tartar sauce,as needed
10,Danish Fish & Chips,1,Dory fish,130 g
,,2,Bengali spice,4 g
,,3,Salt & pepper,6 g
,,4,Lemon + mustard,5 g
,,5,"Garlic, chopped",2 g
,,6,Batter mix,50 g
,,7,Cheese,20 g
,,8,French fries,50 g
,,9,Tartar sauce,as needed
11,Loitta,1,Loitta fish,100 g
,,2,Salt & pepper,4 g
,,3,Lemon + mustard,10 g
,,4,Garlic + ginger,4 g
,,5,Maida / flour,50 g
12,Hot Fry Crab,1,Crab,1 pc
,,2,Bengali spice,6 g
,,3,Salt & pepper,4 g
,,4,Lemon + mustard,5 g
,,5,Maida / flour,50 g
,,6,Garlic,2 g
,,7,Ketchup,as needed
13,Signature Crab Masala,1,Crab,1 pc
,,2,Bengali spice,6 g
,,3,Salt & pepper,4 g
,,4,Masala,100 g
,,5,Sour yogurt,as needed
,,6,Mushroom,1/2 pc
,,7,Tomato,1/4 pc
,,8,Onion,1/2 pc
14,Spicy Crab Masala,1,Crab,1 pc
,,2,Sour yogurt,10 g
,,3,Masala,100 g
,,4,Onion,1/2 pc
15,Chicken Momo,1,Chicken,120 g
,,2,Masala,as needed
,,3,Green sauce,1 cup
,,4,Chili oil,1 cup
,,5,Momo wrapper / patti,6 pcs
16,Chicken Cheese Momo,1,Chicken,120 g
,,2,Masala,as needed
,,3,Cheese,36 g
,,4,Green sauce,1 cup
,,5,Chili oil,as needed
,,6,Momo wrapper / patti,6 pcs
17,Naga Chicken Momo,1,Chicken,120 g
,,2,Masala,as needed
,,3,Naga chili,6 pcs
,,4,Green sauce,as needed
,,5,Chili oil,as needed
,,6,Momo wrapper / patti,6 pcs
18,Twin Flavours Momo,1,Chicken,50 g
,,2,Prawn,6 pcs
,,3,Masala,as needed
,,4,Green sauce,as needed
,,5,Chili sauce,as needed
,,6,Momo wrapper / patti,6 pcs
19,Dumpling with Chili Soup,1,Chicken momo / dumpling,6 pcs
,,2,Chili sauce,150 g
,,3,Salt & pepper,20 g
20,Cream Chili Pasta - Seafood,1,Dory fish,80 g
,,2,Crab,1/2 pc
,,3,Base sauce,180 g
,,4,Cajun sauce,30 g
,,5,Garlic,3 g
,,6,Lemongrass,10 g
,,7,Prawn,2 pcs
,,8,Squid,20 g
,,9,Pasta,100 g
,,10,Salt & pepper,15 g
21,Creamy Chicken Mushroom Pasta,1,Pasta,100 g
,,2,Milk,200 g
,,3,Cream,150 g
,,4,Salt + pepper + sugar,30 g
,,5,Chicken,100 g
,,6,Mushroom,1/2 pc
22,Chicken Chow Mein,1,Noodles,2 packets
,,2,Chicken,100 g
,,3,Vegetables,as needed
,,4,Egg,1 pc
,,5,Tomato sauce,50 g
,,6,Soy sauce,as needed
,,7,Salt + pepper + sugar,as needed
23,Danish Fish & Chips - Bit Spicy,1,Dory fish,150 g
,,2,Cheese,20 g
,,3,Chips spice,5 g
,,4,Salt & pepper,1 g
,,5,Batter mix,as needed
,,6,Soda water,as needed
24,Swim Fish & Chips,1,Dory fish,150 g
,,2,Cheese,20 g
,,3,Onion,1 g
,,4,Salt & pepper,1 g
,,5,Batter mix,as needed
,,6,Soda water,as needed
25,Fish & Chips Bento / Classic Style,1,Dory fish,150 g
,,2,Salt & pepper,1 g
,,3,Batter mix,as needed
,,4,Soda water,as needed
,,5,Fries,80 g
26,Bengali Fish & Chips,1,Dory fish,150 g
,,2,Salt & pepper,1 g
,,3,Batter mix,as needed
,,4,Soda water,as needed
,,5,Fries,as needed
,,6,Bengali spice,5 g
,,7,Tartar sauce,as needed
27,Crispy Chicken Drumstick,1,Chicken drumstick,1 pc
,,2,Bengali spice,4 g
,,3,Salt & pepper,4 g
,,4,Fish + ginger-garlic paste,8 g
,,5,Maida / flour,50 g
28,Chicken Nanban,1,Chicken,100 g
,,2,Salt & pepper,5 g
,,3,Green chili,1 pc
,,4,Egg,1 pc
,,5,Tartar sauce,as needed
29,Chicken Popcorn,1,Chicken,100 g
,,2,Salt + pepper + chili flakes,15 g
,,3,Maida / flour,50 g
,,4,Tomato sauce,as needed
30,Chicken Tempura,1,Chicken,100 g
,,2,Salt & pepper,5 g
,,3,Bengali spice,5 g
,,4,Batter mix,40 g
,,5,Chicken powder,5 g
,,6,Maida / flour,as needed
,,7,Mayonnaise,as needed
31,Masala French Fries,1,French fries,100 g
,,2,Chips spice,as needed
,,3,Tomato sauce,as needed
32,Chicken Singara,1,Ready-to-cook chicken,100 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
33,Mutton Singara,1,Ready-to-cook mutton,80 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
34,Naga Singara,1,Vegetable + naga mix,10 g
,,2,Maida wrapper / patti,as needed
,,3,Cooking oil,as needed
35,Garlic Chicken Fried Rice,1,Rice,100 g
,,2,Chicken,100 g
,,3,Egg,2 pcs
,,4,Butter + ginger,15 g
,,5,Salt & pepper,10 g
36,Seafood Rice Bowl,1,Rice,100 g
,,2,Crab,1/2 pc
,,3,Sauce,25 g
,,4,Prawn,2 pcs
,,5,Squid,20 g
,,6,Dory fish,20 g
,,7,Lemongrass,10 g
,,8,Salt + pepper + sauce,20 g
,,9,Cheese,30 g
37,Set Menu 1,1,Rice,100 g
,,2,Vegetables,100 g
,,3,Egg,1 pc
,,4,Masala,60 g
,,5,Chicken,75 g
,,6,Salt & pepper,20 g
38,Signature Seafood Soup,1,Squid,25 g
,,2,Prawn,2 pcs
,,3,Crab,1/2 pc
,,4,Dory fish,20 g
,,5,Salt & pepper,15 g
,,6,Lemon + coriander,5 g
39,Thai Thick Soup,1,Chicken,50 g
,,2,Prawn,2 pcs
,,3,Mushroom,1 pc
,,4,Chili sauce,100 g
,,5,Salt & pepper,5 g
,,6,Lemon juice + lemongrass + coriander,as needed
,,7,Egg,1 pc
40,Cream & Mushroom Soup,1,Mushroom,48 g
,,2,Cream,50 g
,,3,Milk,250 g
,,4,Salt & pepper,10 g
,,5,Butter,5 g
41,Garlic Mushroom,1,Mushroom,1 full can
,,2,Garlic,10 g
,,3,Butter,5 g
,,4,Coriander + salt & pepper,as needed
42,Chili Oil,1,Lemongrass,250 g
,,2,Kashmiri powder,1 packet
,,3,Onion,1000 g
,,4,Salt & pepper,30 g
,,5,Oil,1000 g
,,6,Prawn,100 g
,,7,Sugar,20 g
43,Masala Base,1,Onion,2000 g
,,2,Oil,3000 g
,,3,Kashmiri powder,2 packets
,,4,Curry powder,2 packets
,,5,Garam masala,500 g
44,Green Sauce,1,Coriander,500 g
,,2,Mint leaf,250 g
,,3,Yogurt,250 g
,,4,Sugar,100 g
,,5,Salt,25 g
,,6,C.K. powder,20 g
,,7,Vinegar,100 g
,,8,Oil,300 g
,,9,Lemon,20 g
